y,v,u,z
3.000000000668738,-6.302149381030023e-11,5.939091608048061e-12,3.000000000668738
3.000000000611144,-5.759387094229713e-11,5.4276228680031e-12,3.000000000611144
3.00000000055851,-5.2633695870793e-11,4.960175071504134e-12,3.00000000055851
3.0000000005104095,-4.810069460566292e-11,4.533001265130081e-12,3.0000000005104095
3.0000000004664513,-4.39581129801445e-11,4.142581625518418e-12,3.0000000004664513
3.000000000426279,-4.017229333324715e-11,3.785819646897343e-12,3.000000000426279
3.0000000003895666,-3.671252438501624e-11,3.459768948230913e-12,3.0000000003895666
3.0000000003560157,-3.3550733200831413e-11,3.1617911841848264e-12,3.0000000003560157
3.0000000003253544,-3.066121763521964e-11,2.889515565611778e-12,3.0000000003253544
3.0000000002973337,-2.8020571894359327e-11,2.6406457408603114e-12,3.0000000002973337
3.000000000271726,-2.5607338940036015e-11,2.4132329543233135e-12,3.000000000271726
3.0000000002483245,-2.3401936946905104e-11,2.2054019931309103e-12,3.0000000002483245
3.000000000226938,-2.138650526765326e-11,2.015431679251844e-12,3.000000000226938
3.000000000207393,-1.954463515524908e-11,1.8418701124041785e-12,3.000000000207393
3.000000000189532,-1.7861372773175742e-11,1.6832623820733375e-12,3.000000000189532
3.000000000173209,-1.632310301905495e-11,1.5382697541207894e-12,3.000000000173209
3.0000000001582916,-1.491731853792282e-11,1.4057844811321305e-12,3.0000000001582916
3.000000000144659,-1.3632583590168783e-11,1.2847349477540372e-12,3.000000000144659
3.0000000001322005,-1.2458495741211161e-11,1.1740878489576214e-12,3.0000000001322005
3.000000000120815,-1.1385531432798426e-11,1.0729643084127344e-12,3.000000000120815
3.00000000011041,-1.0404970280870984e-11,9.805611519274434e-13,3.00000000011041
3.000000000100901,-9.508857207587176e-12,8.961130732838086e-13,3.000000000100901
3.000000000092211,-8.689925436162823e-12,8.189317714243535e-13,3.000000000092211
3.0000000000842695,-7.941519923221982e-12,7.48405512940841e-13,3.0000000000842695
3.0000000000770117,-7.257559500498416e-12,6.839604227235651e-13,3.0000000000770117
3.0000000000703793,-6.632498583808616e-12,6.250609166897999e-13,3.0000000000703793
3.000000000064318,-6.061288886862231e-12,5.712096969463848e-13,3.000000000064318
3.0000000000587788,-5.539263706535175e-12,5.220251803270558e-13,3.0000000000587788
3.0000000000537166,-5.062216644917793e-12,4.770470616173821e-13,3.0000000000537166
